"id","username","location","relationship_type","target"
352,"travelphotography","Southeast Asia","following","truthseeker1_4u"
353,"realannapaulina","United States","following","truthseeker1_4u"
354,"deplorablepaul","Georgia","following","truthseeker1_4u"
355,"michaelyon1776","","following","truthseeker1_4u"
356,"richfranklin","","following","truthseeker1_4u"
357,"senatorbraun","Jasper, In","following","truthseeker1_4u"
358,"repmtg","Rome, GA","following","truthseeker1_4u"
359,"lisa_beni","","following","truthseeker1_4u"
360,"chrissalcedo","","following","truthseeker1_4u"
361,"scottpresler","Make Kindness Cool Again","following","truthseeker1_4u"
362,"handong","USA","following","truthseeker1_4u"
363,"gitrdonelarry","USA","following","truthseeker1_4u"
364,"laralogan","The country of Texas.","following","truthseeker1_4u"
365,"kingsleywilson","The Swamp","following","truthseeker1_4u"
366,"grundoon","Utah","following","truthseeker1_4u"
367,"betsfor45","","following","truthseeker1_4u"
368,"nicholas_z69","","following","truthseeker1_4u"
369,"realanthony","","following","truthseeker1_4u"
370,"5atton","","follower","roodypazoo"
371,"close_border","","follower","roodypazoo"
372,"pmgeezer","DFW TEXAS Area","follower","roodypazoo"
373,"lisakaylor5_7543","California","follower","roodypazoo"
374,"westcoast_8777","USA","follower","roodypazoo"
375,"islam2132","","follower","roodypazoo"
376,"yelihuan","","follower","roodypazoo"
377,"spearslilly256","Southern California 🇱🇷","follower","roodypazoo"
378,"grace_2212","","follower","roodypazoo"
379,"nicholas_z69","","follower","roodypazoo"
380,"chelsea_4698","Tribeca New York","follower","roodypazoo"
381,"emilyadamsvw","IN","follower","roodypazoo"
382,"lisa_cadiz_5934","San Diego CA","follower","roodypazoo"
383,"westlondon","London","follower","roodypazoo"
384,"libertycity","","follower","roodypazoo"
385,"tectonic8","46818","follower","roodypazoo"
386,"msu_dawgma","","follower","roodypazoo"
387,"chancek","Nebraska","follower","roodypazoo"
388,"triton6346","58°26'50.3""N 29°14'53.8""W","follower","roodypazoo"
389,"alace","Japan","follower","roodypazoo"
390,"edbutrick","","follower","roodypazoo"
391,"magnusb","NRW","follower","roodypazoo"
392,"daivdvasques19","","follower","roodypazoo"
393,"kristyh_4148","","follower","roodypazoo"
394,"etoil_59","Google","follower","roodypazoo"
395,"paullina","R O M E….","follower","roodypazoo"
396,"bigbob63","Dallas, tx","follower","roodypazoo"
397,"pedafast","Deep in the Holler","follower","roodypazoo"
398,"alexgonzalezhill","Miami FL","follower","roodypazoo"
399,"renee_c","","follower","roodypazoo"
400,"thorntonn","texas","follower","roodypazoo"
401,"martincos","","follower","roodypazoo"
