username,location,relationship_type,target
fredsanders003,Alabama SA,follower,moger4
homeboy88,texas,follower,moger4
davidcarden,,follower,moger4
g_express,Singapore,follower,moger4
w_terrence1,United States,follower,moger4
mazwiz,🌱 FEAR NOT THIS ILLUSION🌴,follower,moger4
wayne21,"Spearfish, SD and loving it.",follower,moger4
lenolas,Nottinghamshire UK,follower,moger4
kipwkroeger,Monticello NY,follower,moger4
i_know_best,♥️ Eastern Shore Virginia,follower,moger4
uklegal,United Kingdom,follower,moger4
iangravygraves,,follower,moger4
cpdleoretired,,follower,moger4
neveralefty,Occupied PA. Enemy Territory,follower,moger4
truth4people,,follower,moger4
kiwirob67,New Zealand,follower,moger4
shockhazard58,Warren Michigan,follower,moger4
blimey1111,,follower,moger4
mac_dublin,"Dublin, Ireland",follower,moger4
itch66,"EVERYWHERE, ALL THE TIME",follower,moger4
xixis,,follower,moger4
dawei10086,纽约,follower,moger4
mmtak,az,follower,moger4
flagman_54,,follower,moger4
impeachnowbiiden,New York,follower,moger4
enough2021,Welsh of the North,follower,moger4
paulhart2148,Washington DC,follower,moger4
morgcharlotte,Washington DC,follower,moger4
halleberryofficially,New Jersey,follower,moger4
chengkang,,follower,moger4
lylin0418,null,follower,moger4
bishopbackwell,Kampala Uganda,follower,moger4
dubster47,Republic of Texas,follower,moger4
ermittlungshyp1,,follower,moger4
garyslack,Alfreton England,follower,moger4
wethetrumpers,,follower,moger4
johnnywrotten,,follower,moger4
mainecabinfever,Maine,follower,moger4
tillybean,England.,follower,moger4
charly666p,,follower,moger4
bnealm,FL,follower,moger4
dayan777,新中国联邦 NFSC,follower,moger4
mathewroberts,,follower,moger4
gypsybeepie,America,follower,moger4
abimondol,Florida,follower,moger4
m4rtin,England,follower,moger4
tclover,,follower,moger4
arytenoid,,follower,moger4
laoli54,美国,follower,moger4
lordcornwall,Cornwall UK.,follower,moger4
hawldyablome,,follower,moger4
johnyboy65,"North Yorkshire, UK 🇬🇧",follower,moger4
tlee41,UK,follower,moger4
gary771,,follower,moger4
historicalimages,,follower,moger4
mary_1234,,follower,moger4
r0bb0mc,"Wangaratta, Australia",follower,moger4
maryks,Texas,follower,moger4
caroleroth,,follower,moger4
buberlub,Manchester,follower,moger4
mrintegrity,,follower,moger4
nannyrabbit,,follower,moger4
options_with_elaine,United States,follower,moger4
woody13sof,"Savannah, GA",follower,moger4
anti_sharia,Denmark 🇩🇰,follower,moger4
republicanfighter,,follower,moger4
dragnetfriday,"Big Canoe, Ga.",follower,moger4
julsp,Kansas/Oklahoma,follower,moger4
paulatreides,"Toledo District, Belize",follower,moger4
dretoslosba,United States,follower,moger4
yitong8964,澳洲墨尔本雅典娜农场,follower,moger4
wjcharliee,MINDS:  minds.com/wjcharliee/,follower,moger4
craftyladyahome,,follower,moger4
msphtr77,Indiana,follower,moger4
jonny_exotic,Dublin  Ireland,follower,moger4
qinqin119,null,follower,moger4
antidemrino,Fly Over State,follower,moger4
woodflagmaker,,follower,moger4
thelastnegoro,SILICON VALLEY 👽,follower,moger4
georgekelley,,follower,moger4
q144114,火星,follower,moger4
qcode17,,follower,moger4
hannahcountiho,,follower,moger4
xiwangzhiguang,,follower,moger4
diegomontuno,Houston,follower,moger4
rwordsworth,,follower,moger4
brianb1972,North Central Texas,follower,moger4
matanga,,follower,moger4
english44trump,Clownworld,follower,moger4
freedom_sue,,follower,moger4
pbond,,follower,moger4
kennylewis,Oklahoma,follower,moger4
thehooduk84,England,follower,moger4
alena_barrett,AMERICA,follower,moger4
rogerlehet1666,Nowhere,follower,moger4
queenbessie,🇬🇧❤️Great Britain ❤️🇬🇧,follower,moger4
roughandready,"Long Beach, CA",follower,moger4
lavendel7,NRW -Essen,follower,moger4
pompitup,England 🏴󠁧󠁢󠁥󠁮󠁧󠁿,follower,moger4
elizabeth1963,OLDHAM,follower,moger4
johanhollinz,,follower,moger4
n_n_w_o,UK,follower,moger4
marynews,,follower,moger4
pridar64,wellington,follower,moger4
heycarrieann,Feet in the UK,follower,moger4
leeusa,,follower,moger4
jesusfreak1963,Leicester UK,follower,moger4
relaxrelaxrelax,PlanetEarthbutnotforlong.,follower,moger4
jbhunterone,Michigan,follower,moger4
bdal58,,follower,moger4
peoplepresident,,follower,moger4
ubuntumike,Sweden,follower,moger4
hilarymoggy26,"South East, England, UK",follower,moger4
viper22,North Dakota,follower,moger4
rim2345,,follower,moger4
thk630,Perdido Key FL,follower,moger4
diggergardi,"Portsmouth, England.",follower,moger4
royblizzardiii,"Leander, Tx",follower,moger4
archie1960,Canada 🇨🇦,follower,moger4
timstoakes,Devon + Atlanta,follower,moger4
david_0054,,follower,moger4
tomtom91,England,follower,moger4
stuartmacdonald,,follower,moger4
wikiwoo392,liverpool England,follower,moger4
tinknme,North Carolina,follower,moger4
magameg,,follower,moger4
andyryan20000,,follower,moger4
billjzq,,follower,moger4
carlynfox,,follower,moger4
scottbritton,,follower,moger4
shropshirenews,Broseley,follower,moger4
lilac123,fife,follower,moger4
turbo81,communist Republic of Scotland,follower,moger4
leewalden,east Bum F..k,follower,moger4
ericadavis_999,,follower,moger4
usa_today,,follower,moger4
village419,,follower,moger4
creepytaterjoe,,follower,moger4
patrioticgramp,Nowhere,follower,moger4
ilovetrump1952,Alberta-{Texas North}PUREBLOOD,follower,moger4
nightforce,America,follower,moger4
leivers1980,Telford UK,follower,moger4
phuckjoeybiden,"The great USA,",follower,moger4
bendingo,"Sedalia, mo",follower,moger4
harleybob58,Arizona,follower,moger4
rgmatuschewski,,follower,moger4
ignazbearth,Balaton Ungarn 🇭🇺,follower,moger4
bannedbygettr,,follower,moger4
shinjulee,,follower,moger4
nickofthyme,Australia,follower,moger4
freedomforallhq,,follower,moger4
jolenebuntinguk,"Belfast, Northern Ireland, U.K",follower,moger4
montybrack,,follower,moger4
konezone,The EXTREME LEFT COAST,follower,moger4
evola_shades,Merry Old England,follower,moger4
bigvernfl,Florida Land of the Free,follower,moger4
micheleatittler,"Vancouver, Canada",follower,moger4
onegodjesus,Kabul Afghanistan,follower,moger4
steveclaw,Idaho,follower,moger4
twatty,,follower,moger4
bubhux,"Hilton Head Island, S.C.",follower,moger4
sossy4412,Newcastle Upon Tyne,follower,moger4
gasco,,follower,moger4
blornash,Benton Ar,follower,moger4
patriciatwin,,follower,moger4
alansballs,Londonibad UKistan,follower,moger4
lardbutt,,follower,moger4
jen3679,,follower,moger4
jxnelson01,,follower,moger4
jimbids,Scotland,follower,moger4
ceebeeuk,United Kingdom,follower,moger4
