term,language,offense_level,sightings_number
sperg,English,Moderately offensive,421.0
mongoloids,English,-,420.0
gurrier,English,Extremely offensive,418.0
kraut,English,Highly offensive,416.0
sheboon,English,Extremely offensive,416.0
skanger,English,Highly offensive,414.0
dink,English,Extremely offensive,414.0
dinks,English,-,413.0
azns,English,-,412.0
Kushites,English,-,411.0
higger,English,Highly offensive,407.0
ragheads,English,-,405.0
darkie,English,Highly offensive,402.0
pakis,English,Extremely offensive,401.0
munts,English,-,400.0
guidos,English,-,398.0
buckra,English,Highly offensive,396.0
jackeen,English,-,394.0
cotton picker,English,Highly offensive,394.0
whores,English,-,393.0
lemonhead,English,Highly offensive,392.0
touch of the tar brush,English,Extremely offensive,382.0
mongoloid,English,Highly offensive,377.0
nigguh,English,Extremely offensive,375.0
yard apes,English,-,375.0
wog,English,Highly offensive,371.0
soup taker,English,Highly offensive,369.0
queer,English,Mildly offensive,369.0
curry muncher,English,Highly offensive,366.0
golliwog,English,Extremely offensive,364.0
Orientals,English,-,360.0
munters,English,-,360.0
good goy,English,-,359.0
bimbo,English,Mildly offensive,356.0
diaper heads,English,-,354.0
spear chucker,English,Extremely offensive,349.0
muzzrats,English,-,349.0
Cushites,English,-,349.0
Southern fairies,English,-,347.0
Merkins,English,-,347.0
pikey,English,Highly offensive,343.0
khazar,English,Extremely offensive,341.0
paki,English,Extremely offensive,339.0
WASPy,English,Mildly offensive,338.0
oven dodgers,English,-,336.0
Christ killer,English,Extremely offensive,330.0
shemale,English,Extremely offensive,329.0
nigette,English,Extremely offensive,327.0
paddy,English,Extremely offensive,326.0
hillbilly,English,Highly offensive,323.0
ling lings,English,-,323.0
guidettes,English,-,323.0
nigettes,English,-,321.0
border bunny,English,Extremely offensive,320.0
Southern fairy,English,Highly offensive,320.0
tynker,English,Extremely offensive,318.0
jocky,English,Highly offensive,317.0
Argie,English,Mildly offensive,317.0
coloreds,English,-,317.0
house niggers,English,-,316.0
blaxicans,English,Mildly offensive,313.0
AmeriKKKan,English,Mildly offensive,312.0
mockey,English,Highly offensive,312.0
peckerwoods,English,-,310.0
